,index,latitude,longitude,cityname,searchcity,temp,humidity,cloudiness,windspeed
0,0,-21.2,-175.2,Vaini,vaini,82.4,78,90,1.5
1,1,-23.12,-134.97,Rikitea,rikitea,77.99,100,56,7.93
2,2,-53.15,-70.92,Punta Arenas,punta arenas,46.4,61,90,7.2
3,3,-54.8,-68.3,Ushuaia,ushuaia,42.8,75,75,11.8
4,4,-34.42,19.23,Hermanus,hermanus,61.52,79,0,2.18
5,5,-34.53,20.04,Bredasdorp,bredasdorp,66.2,82,0,8.7
6,6,-34.0,24.73,Kruisfontein,kruisfontein,65.53,81,0,7.28
7,7,-33.92,25.57,Port Elizabeth,port elizabeth,64.4,88,75,10.8
8,8,-33.59,26.89,Port Alfred,port alfred,67.51,86,12,9.08
9,9,-33.02,27.91,East London,east london,68.9,100,88,10.68
10,10,-33.65,115.33,Busselton,busselton,60.89,100,0,6.58
11,11,-35.02,117.89,Albany,albany,60.8,70,12,2.03
12,12,-42.78,147.06,New Norfolk,new norfolk,64.4,45,75,5.7
13,13,-42.88,147.33,Hobart,hobart,64.4,45,75,5.7
14,14,-46.6,168.33,Bluff,bluff,63.77,94,0,2.48
15,15,-33.93,18.42,Cape Town,cape town,66.2,72,0,3.1
16,16,-21.35,55.77,Saint-Philippe,saint-philippe,75.2,57,0,3.6
17,17,-21.21,-159.78,Avarua,avarua,78.8,83,75,4.6
18,18,-38.0,-57.56,Mar del Plata,mar del plata,64.4,93,90,3.6
19,19,-33.7,-53.46,Chuy,chuy,67.55,94,24,2.83
20,20,-30.18,-50.21,Cidreira,cidreira,72.77,84,32,7.03
21,21,-45.87,170.5,Dunedin,dunedin,76.01,67,0,2.13
22,22,-42.47,-73.77,Castro,castro,57.29,70,20,2.13
23,23,-34.48,-54.33,Rocha,rocha,68.41,73,20,3.13
24,24,-22.97,-42.03,Arraial do Cabo,arraial do cabo,74.08,89,92,6.18
25,25,-20.52,57.52,Souillac,souillac,75.2,88,40,1.5
26,26,-20.41,57.7,Mahebourg,mahebourg,75.2,88,40,1.5
27,27,-37.83,140.77,Mount Gambier,mount gambier,63.86,71,64,2.13
28,28,-46.13,167.68,Tuatapere,tuatapere,67.33,78,8,2.33
29,29,-45.58,-72.07,Coihaique,coihaique,60.8,44,0,2.6
30,30,-51.62,-69.22,Rio Gallegos,rio gallegos,53.6,25,75,7.2
31,31,-43.3,-65.1,Rawson,rawson,54.28,91,0,6.03
32,32,-38.55,-58.74,Necochea,necochea,69.26,76,32,4.38
33,33,-15.94,-5.72,Jamestown,jamestown,67.64,100,88,5.08
34,34,-33.87,121.9,Esperance,esperance,61.97,73,0,2.53
35,35,-38.33,141.6,Portland,portland,61.3,100,64,5.18
36,36,-41.41,175.52,Waipawa,waipawa,69.8,64,0,4.1
37,37,-40.81,-63.0,Viedma,viedma,58.51,57,0,6.88
38,38,-28.48,-48.78,Laguna,laguna,72.01,95,44,8.98
39,39,-33.01,17.94,Saldanha,saldanha,77.0,44,0,2.6
40,40,-34.73,135.87,Port Lincoln,port lincoln,57.65,100,76,9.43
41,41,-45.42,167.72,Te Anau,te anau,75.7,51,0,2.13
42,42,-45.13,170.1,Ranfurly,ranfurly,76.73,41,0,2.13
43,43,-43.53,172.63,Christchurch,christchurch,68.0,68,8,11.3
44,44,-41.87,-73.82,Ancud,ancud,60.26,71,88,1.03
45,45,-39.81,-73.25,Valdivia,valdivia,66.2,68,0,2.6
46,46,-41.15,-71.3,San Carlos de Bariloche,san carlos de bariloche,62.6,42,20,9.3
47,47,-38.37,-60.28,Tres Arroyos,tres arroyos,65.53,88,32,3.23
48,48,-30.86,30.37,Margate,margate,65.21,97,88,3.93
49,49,-41.07,145.92,Burnie,burnie,60.44,100,0,6.93
50,50,-37.88,147.98,Lakes Entrance,lakes entrance,65.57,84,0,2.73
51,51,-35.72,150.18,Batemans Bay,batemans bay,72.91,65,0,0.78
52,52,-41.75,171.6,Westport,westport,76.15,55,0,1.18
53,53,-39.93,175.05,Wanganui,wanganui,74.08,74,0,2.53
54,54,-38.37,178.3,Tolaga Bay,tolaga bay,67.82,72,8,2.93
55,55,-37.62,-73.65,Lebu,lebu,55.17,97,0,9.13
56,56,-36.72,-73.12,Talcahuano,talcahuano,57.2,87,0,3.1
57,57,-34.42,-70.87,Rengo,rengo,73.4,53,0,3.6
58,58,-34.65,-59.43,Mercedes,mercedes,79.88,48,56,1.73
59,59,-34.9,-60.02,Chivilcoy,chivilcoy,72.55,82,48,2.43
60,60,-34.9,-54.95,Maldonado,maldonado,69.8,88,20,3.1
61,61,-32.03,-52.1,Rio Grande,rio grande,73.9,81,0,6.03
62,62,-26.65,15.16,Luderitz,luderitz,60.8,100,24,1.5
63,63,-28.78,32.04,Richards Bay,richards bay,63.55,100,68,0.93
64,64,-20.34,57.76,Bambous Virieux,bambous virieux,75.2,88,40,1.5
65,65,-28.77,114.6,Geraldton,geraldton,82.4,28,0,11.3
66,66,-38.47,145.02,Flinders,flinders,71.6,46,75,3.6
67,67,-35.12,139.27,Murray Bridge,murray bridge,62.56,87,92,3.48
68,68,-35.53,144.97,Deniliquin,deniliquin,75.16,50,0,4.93
69,69,-34.75,149.72,Goulburn,goulburn,69.35,69,0,4.08
70,70,-32.72,152.15,Nelson Bay,nelson bay,87.8,22,0,7.2
